nct_id,nct_date,nct_year
NCT00000620,Sep-99,1999
NCT00001853,6-Oct-98,1998
NCT00001870,Jan-99,1999
NCT00001985,Jan-00,2000
NCT00001987,30-Jan-76,1976
NCT00004266,Aug-93,1993
NCT00004360,Sep-95,1995
NCT00004363,Dec-95,1995
NCT00004364,Dec-95,1995
NCT00004984,Feb-94,1994
NCT00004992,Jul-96,1996
NCT00005146,May-79,1979
NCT00005193,Sep-86,1986
NCT00005205,Aug-87,1987
NCT00005419,Mar-92,1992
NCT00005479,Sep-96,1996
NCT00005481,Sep-96,1996
NCT00005539,Feb-99,1999
NCT00005754,Sep-99,1999
NCT00005760,May-00,2000
NCT00006159,Mar-94,1994
NCT00006162,Oct-94,1994
NCT00006163,Sep-97,1997
NCT00006305,Sep-00,2000
NCT00006426,Aug-98,1998
NCT00006432,Jan-00,2000
NCT00006505,15-Nov-00,2000
NCT00007696,Apr-98,1998
NCT00007800,May-00,2000
NCT00013299,Oct-00,2000
NCT00014911,Apr-01,2001
NCT00016835,Apr-01,2001
NCT00017953,Jun-01,2001
NCT00021788,Jul-00,2000
NCT00021801,Mar-00,2000
NCT00021944,Apr-01,2001
NCT00024518,Sep-01,2001
NCT00029848,Oct-01,2001
NCT00032487,1-Dec-00,2000
NCT00032864,Jan-97,1997
NCT00035542,Dec-01,2001
NCT00035568,Feb-02,2002
NCT00035750,Sep-01,2001
NCT00035984,May-02,2002
NCT00037297,Jul-01,2001
NCT00038727,Sep-02,2002
NCT00039013,Mar-02,2002
NCT00039026,Feb-02,2002
NCT00041405,Jul-01,2001
NCT00044148,16-Jul-02,2002
NCT00044395,Jul-02,2002
NCT00044408,Jul-02,2002
NCT00044421,Jul-02,2002
NCT00044447,May-01,2001
NCT00044668,Aug-02,2002
NCT00044694,Aug-02,2002
NCT00046150,May-02,2002
NCT00046501,Nov-02,2002
NCT00057304,22-Apr-03,2003
NCT00057317,Dec-01,2001
NCT00057499,Mar-03,2003
NCT00058981,Oct-02,2002
NCT00060918,Jun-01,2001
NCT00060931,Jun-01,2001
NCT00063128,Apr-03,2003
NCT00063583,Jun-03,2003
NCT00063674,Apr-03,2003
NCT00064714,Jul-03,2003
NCT00064727,9-Jul-03,2003
NCT00065130,Apr-00,2000
NCT00065650,Jul-03,2003
NCT00065663,Aug-02,2002
NCT00065676,25-Jul-03,2003
NCT00067626,Apr-05,2005
NCT00067951,Oct-03,2003
NCT00069537,May-02,2002
NCT00069576,Oct-02,2002
NCT00069615,Feb-03,2003
NCT00069836,Oct-03,2003
NCT00071409,Oct-03,2003
NCT00071422,Oct-03,2003
NCT00072904,Jun-01,2001
NCT00073255,Jun-03,2003
NCT00073268,Dec-02,2002
NCT00073281,Aug-03,2003
NCT00078052,Sep-03,2003
NCT00081328,May-04,2004
NCT00082238,Mar-03,2003
NCT00082381,Jun-03,2003
NCT00082407,Nov-03,2003
NCT00085969,Sep-03,2003
NCT00086450,Apr-04,2004
NCT00086502,Jun-04,2004
NCT00086515,Jun-04,2004
NCT00087516,Jun-04,2004
NCT00090506,Jul-04,2004
NCT00094757,Oct-04,2004
NCT00094770,Sep-04,2004
NCT00094796,20-Oct-04,2004
NCT00094991,May-04,2004
NCT00095056,Oct-04,2004
NCT00095082,Sep-04,2004
NCT00095446,Jul-04,2004
NCT00095654,Jul-01,2001
NCT00097084,Sep-04,2004
NCT00097279,Aug-04,2004
NCT00097500,Sep-04,2004
NCT00097786,Jan-02,2002
NCT00097877,Jan-05,2005
NCT00097955,Oct-04,2004
NCT00099320,May-04,2004
NCT00099619,Sep-04,2004
NCT00099853,May-04,2004
